EmployeeID,Age,Gender,MaritalStatus,Department,JobRole,EducationField,YearsAtCompany,MonthlyIncome,Attrition,OverTime,PerformanceRating,JobSatisfaction,WorkLifeBalance,EnvironmentSatisfaction,YearsInCurrentRole,YearsSinceLastPromotion,DistanceFromHomeKM
EMP-1239,32,Male,Divorced,Software Engineering,Engineering Lead,Other,2,10157,No,Yes,3,4,4,4,2,2,2
EMP-1240,30,Female,Married,Finance,Finance Manager,Life Sciences,9,13559,Yes,Yes,4,1,3,3,4,2,34
EMP-1241,28,Male,Divorced,Marketing,Marketing Manager,Medical,7,13565,No,Yes,4,4,2,1,5,3,32
EMP-1242,53,Male,Married,Sales,Sales Executive,Marketing,2,7766,No,Yes,3,4,4,2,2,0,32
EMP-1243,29,Non-Binary,Divorced,Software Engineering,DevOps Engineer,Other,1,4293,No,No,3,4,1,1,1,0,30
EMP-1244,25,Female,Married,Human Resources,Recruitment Specialist,Marketing,4,8407,No,Yes,3,3,4,1,1,1,23
EMP-1245,57,Female,Divorced,Finance,Accountant,Life Sciences,2,5096,Yes,Yes,3,2,4,1,2,0,30
EMP-1246,43,Male,Married,Sales,Sales Manager,Life Sciences,19,16102,No,No,2,4,4,2,2,2,28
EMP-1247,54,Female,Single,Marketing,Content Strategist,Other,19,11025,Yes,No,3,2,1,4,13,6,16
EMP-1248,43,Non-Binary,Married,Human Resources,Recruitment Specialist,Medical,5,8101,No,Yes,3,3,3,2,3,2,9
EMP-1249,33,Female,Divorced,Finance,Finance Manager,Other,11,16288,No,No,4,3,4,4,9,4,28
EMP-1250,28,Male,Single,R&D,R&D Manager,Life Sciences,2,10573,No,Yes,2,2,3,3,1,0,23
EMP-1251,57,Female,Divorced,Software Engineering,Software Engineer,Other,18,10165,No,No,4,3,1,4,11,8,4
EMP-1252,38,Male,Married,R&D,R&D Manager,Medical,12,18285,Yes,No,4,2,2,3,3,0,25
EMP-1253,39,Female,Single,R&D,Laboratory Technician,Medical,18,8007,No,Yes,4,3,4,2,2,2,20
EMP-1254,57,Male,Divorced,Software Engineering,Engineering Lead,Marketing,17,16999,Yes,No,3,2,1,2,8,3,22
EMP-1255,40,Male,Divorced,Human Resources,Recruitment Specialist,Human Resources,16,13558,Yes,No,4,1,1,3,8,0,21
EMP-1256,46,Male,Divorced,Software Engineering,Software Engineer,Marketing,1,7794,No,Yes,4,3,4,4,1,1,33
EMP-1257,32,Non-Binary,Divorced,R&D,Research Scientist,Human Resources,1,3939,No,Yes,4,2,4,1,1,0,10
EMP-1258,43,Male,Single,R&D,Laboratory Technician,Life Sciences,6,7015,Yes,No,3,1,2,3,3,0,25
EMP-1259,56,Male,Divorced,Finance,Financial Analyst,Human Resources,3,8480,Yes,Yes,3,1,3,1,2,1,25
EMP-1260,23,Male,Divorced,Software Engineering,Engineering Lead,Medical,2,15117,No,No,4,3,2,3,2,0,10
EMP-1261,22,Female,Married,R&D,Research Scientist,Human Resources,1,4125,Yes,No,3,2,3,2,1,0,15
EMP-1262,34,Male,Divorced,Marketing,Content Strategist,Human Resources,2,8232,Yes,Yes,3,1,3,1,2,1,9
EMP-1263,37,Male,Divorced,Finance,Finance Manager,Life Sciences,7,13021,No,No,3,4,3,3,5,2,21
EMP-1264,22,Male,Single,Software Engineering,Software Engineer,Other,1,5831,No,No,3,3,2,3,1,1,32
EMP-1265,33,Female,Single,Marketing,Marketing Specialist,Marketing,5,8612,No,No,4,3,1,1,1,1,14
EMP-1266,38,Female,Divorced,R&D,R&D Manager,Technical Degree,5,12746,No,No,3,2,3,2,4,2,33
EMP-1267,37,Female,Divorced,R&D,R&D Manager,Other,6,16389,Yes,Yes,4,2,4,2,2,2,31
EMP-1268,36,Female,Single,Human Resources,HR Executive,Life Sciences,9,8107,No,No,4,1,2,3,1,1,7
EMP-1269,39,Female,Married,Finance,Finance Manager,Human Resources,18,16662,No,No,4,4,4,3,3,2,25
EMP-1270,47,Male,Married,Sales,Sales Manager,Technical Degree,16,15865,Yes,Yes,3,2,4,2,5,1,11
EMP-1271,29,Female,Married,Human Resources,HR Manager,Marketing,4,13732,No,No,3,4,4,2,4,0,16
EMP-1272,58,Female,Single,R&D,Research Scientist,Other,17,9947,No,Yes,3,2,1,2,1,1,6
EMP-1273,52,Female,Single,Sales,Sales Representative,Medical,14,9311,No,No,3,2,3,2,8,1,15
EMP-1274,30,Male,Single,Software Engineering,DevOps Engineer,Human Resources,9,9887,Yes,No,3,2,1,2,9,8,8
EMP-1275,30,Female,Divorced,R&D,Laboratory Technician,Life Sciences,9,9789,No,Yes,4,3,1,4,7,5,7
EMP-1276,38,Male,Single,Software Engineering,Software Engineer,Life Sciences,10,10194,No,No,3,3,2,1,10,8,8
EMP-1277,46,Female,Divorced,Marketing,Marketing Specialist,Marketing,14,8645,Yes,Yes,3,2,4,3,10,4,26
EMP-1278,57,Female,Married,Sales,Sales Representative,Medical,12,11284,No,No,3,4,3,3,7,2,8
EMP-1279,50,Female,Single,Finance,Financial Analyst,Life Sciences,7,9128,No,No,3,3,1,2,7,1,10
EMP-1280,49,Male,Married,Software Engineering,Engineering Lead,Medical,12,12815,No,No,3,1,4,4,12,9,4
EMP-1281,53,Male,Single,Sales,Sales Manager,Other,17,14225,Yes,No,3,1,2,2,6,0,18
EMP-1282,47,Male,Single,Software Engineering,DevOps Engineer,Human Resources,1,4147,Yes,No,4,1,3,3,1,1,26
EMP-1283,38,Male,Divorced,Marketing,Marketing Specialist,Life Sciences,17,8518,No,No,4,3,3,1,9,7,25
EMP-1284,37,Female,Married,Marketing,Content Strategist,Other,15,7519,No,No,3,1,3,1,4,1,21
EMP-1285,55,Female,Divorced,Software Engineering,DevOps Engineer,Marketing,8,6937,No,No,3,4,3,1,6,2,14
EMP-1286,33,Female,Divorced,Marketing,Content Strategist,Medical,12,7355,No,Yes,4,2,3,2,6,1,7
EMP-1287,53,Female,Divorced,R&D,Research Scientist,Life Sciences,16,11168,No,No,4,3,4,3,9,6,15
EMP-1288,25,Female,Married,Marketing,Marketing Specialist,Technical Degree,4,4578,No,No,2,3,4,2,4,2,1
EMP-1289,35,Male,Single,R&D,R&D Manager,Marketing,12,17959,No,Yes,3,3,2,3,10,5,24
EMP-1290,49,Male,Divorced,Sales,Sales Representative,Marketing,12,9133,No,No,3,4,2,2,2,2,18
EMP-1291,49,Female,Single,Sales,Sales Manager,Medical,5,14154,No,No,4,1,2,4,5,4,21
EMP-1292,38,Female,Divorced,Software Engineering,DevOps Engineer,Life Sciences,13,8248,Yes,No,3,2,1,2,8,5,17
EMP-1293,57,Female,Married,Human Resources,Recruitment Specialist,Marketing,1,6754,No,No,3,3,2,2,1,1,29
EMP-1294,40,Male,Single,R&D,Laboratory Technician,Medical,11,10076,No,Yes,3,4,1,1,6,5,19
EMP-1295,47,Male,Married,Finance,Accountant,Marketing,19,15010,No,Yes,2,4,4,2,8,4,6
EMP-1296,47,Male,Single,Sales,Sales Executive,Technical Degree,18,6448,No,Yes,3,4,1,1,13,4,15
EMP-1297,40,Male,Single,Sales,Sales Manager,Medical,17,12566,No,No,3,1,3,3,9,8,29
EMP-1298,56,Male,Divorced,Sales,Sales Manager,Technical Degree,19,17459,No,No,4,3,3,4,15,9,24
EMP-1299,31,Male,Single,Software Engineering,DevOps Engineer,Human Resources,5,7132,No,No,3,4,1,4,1,1,19
EMP-1300,22,Female,Single,Marketing,Marketing Specialist,Technical Degree,1,7031,Yes,No,3,2,2,4,1,1,19
EMP-1301,56,Female,Married,Finance,Finance Manager,Medical,3,10546,No,No,3,3,1,4,3,3,13
EMP-1302,31,Male,Divorced,Human Resources,HR Executive,Life Sciences,6,5369,No,No,3,3,2,4,2,0,32
EMP-1303,48,Male,Married,Sales,Sales Representative,Marketing,15,6969,Yes,Yes,3,1,2,1,3,1,17
EMP-1304,29,Non-Binary,Divorced,Software Engineering,Software Engineer,Medical,8,8532,Yes,No,2,1,2,4,4,3,25
EMP-1305,42,Male,Divorced,Finance,Accountant,Life Sciences,18,10725,No,Yes,4,3,4,3,7,1,16
EMP-1306,42,Male,Married,Finance,Accountant,Human Resources,4,7850,Yes,No,3,2,1,1,2,1,6
EMP-1307,53,Male,Divorced,Sales,Sales Executive,Marketing,2,4171,Yes,No,3,2,1,2,2,1,13
EMP-1308,46,Male,Single,R&D,R&D Manager,Marketing,2,13135,No,Yes,3,4,3,4,2,1,30
EMP-1309,57,Male,Divorced,Human Resources,HR Manager,Medical,15,16307,No,Yes,3,3,3,4,7,2,2
EMP-1310,37,Male,Single,Marketing,Content Strategist,Other,16,9542,No,No,3,4,2,3,4,0,34
EMP-1311,24,Female,Single,Finance,Financial Analyst,Medical,2,5209,Yes,Yes,3,4,2,1,2,2,17
EMP-1312,36,Female,Single,R&D,Laboratory Technician,Life Sciences,7,9934,No,No,3,1,4,1,4,2,4
EMP-1313,55,Male,Single,Marketing,Content Strategist,Marketing,3,6153,Yes,No,3,1,1,2,1,0,27
EMP-1314,58,Male,Married,Finance,Financial Analyst,Other,14,6740,No,No,3,2,4,3,10,7,23
EMP-1315,42,Female,Married,Human Resources,HR Manager,Other,14,17694,Yes,No,4,2,2,4,8,7,26
EMP-1316,24,Non-Binary,Divorced,R&D,R&D Manager,Life Sciences,3,10737,No,No,3,3,1,3,2,0,18
EMP-1317,57,Female,Divorced,Marketing,Marketing Manager,Medical,4,9877,No,Yes,4,3,2,2,2,0,17
EMP-1318,58,Male,Single,Human Resources,HR Executive,Other,3,6915,No,No,3,4,2,4,3,0,20
EMP-1319,58,Male,Single,R&D,R&D Manager,Marketing,12,15129,Yes,No,3,1,2,1,9,0,21
EMP-1320,31,Male,Divorced,Marketing,Marketing Manager,Medical,5,10523,No,Yes,3,4,4,1,4,1,9
EMP-1321,52,Female,Single,Human Resources,HR Executive,Human Resources,13,7573,No,No,3,4,4,2,4,3,26
EMP-1322,34,Female,Divorced,Finance,Finance Manager,Human Resources,8,11829,No,No,3,3,4,3,2,2,27
EMP-1323,44,Male,Married,Software Engineering,DevOps Engineer,Human Resources,1,5890,No,No,4,3,4,2,1,0,24
EMP-1324,27,Male,Single,Sales,Sales Manager,Medical,6,11941,No,No,2,3,1,3,4,3,2
EMP-1325,56,Male,Divorced,Human Resources,HR Executive,Human Resources,9,10152,Yes,No,3,2,1,4,3,0,19
EMP-1326,39,Male,Divorced,Sales,Sales Manager,Life Sciences,3,12640,No,Yes,4,3,3,1,3,3,15
EMP-1327,28,Female,Married,Software Engineering,Engineering Lead,Human Resources,7,10600,Yes,Yes,4,2,4,1,4,3,11
EMP-1328,44,Male,Married,R&D,Laboratory Technician,Medical,17,11528,No,No,4,1,3,4,1,1,15
EMP-1329,47,Female,Single,Sales,Sales Representative,Other,13,12600,No,No,3,2,4,2,5,4,22
EMP-1330,30,Male,Single,Software Engineering,Engineering Lead,Human Resources,9,17289,No,No,4,2,2,3,7,2,11
EMP-1331,57,Female,Divorced,Human Resources,HR Executive,Life Sciences,6,7985,Yes,No,3,2,1,3,4,2,10
EMP-1332,30,Male,Divorced,Sales,Sales Executive,Human Resources,9,10599,Yes,No,3,2,2,2,8,2,33
EMP-1333,45,Male,Married,Marketing,Content Strategist,Technical Degree,16,7382,No,No,4,2,2,1,14,3,13
EMP-1334,33,Female,Married,Sales,Sales Executive,Human Resources,12,10313,No,No,2,4,2,4,12,6,21
EMP-1335,58,Female,Divorced,Software Engineering,Engineering Lead,Other,2,13119,No,No,3,4,4,1,2,2,3
EMP-1336,55,Female,Single,Marketing,Content Strategist,Medical,10,9310,No,Yes,3,3,3,4,1,0,30
EMP-1337,27,Female,Single,Finance,Accountant,Medical,6,8780,No,No,3,4,4,3,5,5,13
EMP-1338,38,Male,Divorced,Software Engineering,Software Engineer,Other,6,5250,Yes,Yes,3,1,4,3,5,4,11
EMP-1339,46,Male,Single,Software Engineering,Engineering Lead,Marketing,19,20932,Yes,Yes,3,2,2,2,10,7,19
EMP-1340,29,Female,Single,Finance,Financial Analyst,Life Sciences,8,6497,No,No,2,4,4,4,8,3,14
EMP-1341,52,Male,Married,Marketing,Marketing Manager,Life Sciences,20,16436,Yes,Yes,2,2,3,2,2,0,3
EMP-1342,41,Male,Single,Finance,Finance Manager,Life Sciences,4,12695,No,No,3,2,3,2,3,0,6
EMP-1343,45,Female,Single,Human Resources,Recruitment Specialist,Technical Degree,18,7763,No,No,3,4,2,1,17,13,34
EMP-1344,35,Female,Single,Sales,Sales Manager,Human Resources,14,13040,No,Yes,3,3,4,3,10,5,9
EMP-1345,53,Female,Divorced,Marketing,Marketing Manager,Technical Degree,16,15989,Yes,Yes,2,2,3,2,4,1,27
EMP-1346,43,Male,Divorced,Software Engineering,Software Engineer,Medical,1,5174,No,No,3,3,3,1,1,0,8
EMP-1347,43,Male,Divorced,Finance,Accountant,Human Resources,1,4837,No,No,3,3,3,4,1,1,10
EMP-1348,56,Female,Married,Finance,Accountant,Technical Degree,2,7920,No,No,3,3,1,2,2,0,10
EMP-1349,43,Non-Binary,Divorced,Human Resources,HR Executive,Human Resources,6,9707,No,No,3,4,2,1,6,6,21
EMP-1350,39,Male,Married,Finance,Financial Analyst,Medical,12,11246,No,Yes,3,3,2,3,1,0,6
EMP-1351,23,Female,Divorced,Software Engineering,Engineering Lead,Medical,2,12058,No,Yes,4,4,3,3,1,0,3
EMP-1352,55,Male,Married,Software Engineering,DevOps Engineer,Life Sciences,20,8613,No,No,3,4,1,1,10,0,20
EMP-1353,42,Male,Married,Finance,Financial Analyst,Marketing,18,12060,No,Yes,3,4,1,3,1,0,14
EMP-1354,57,Male,Single,Marketing,Content Strategist,Other,10,10022,Yes,No,3,2,1,3,3,0,31
EMP-1355,28,Male,Single,Finance,Financial Analyst,Technical Degree,7,6976,No,No,3,4,3,3,7,1,30
EMP-1356,27,Female,Divorced,Marketing,Marketing Specialist,Technical Degree,4,7848,No,No,2,4,4,2,3,2,26
EMP-1357,43,Female,Married,Sales,Sales Manager,Technical Degree,16,11403,No,No,4,4,1,3,10,5,9
EMP-1358,47,Female,Single,Marketing,Marketing Specialist,Marketing,18,10117,No,No,3,3,4,4,8,8,11
EMP-1359,26,Male,Divorced,Software Engineering,DevOps Engineer,Human Resources,5,8241,No,No,2,3,2,2,5,3,8
EMP-1360,51,Male,Single,Marketing,Marketing Manager,Technical Degree,6,13387,No,No,3,4,1,1,4,2,32
EMP-1361,25,Male,Single,Finance,Finance Manager,Human Resources,1,14888,No,No,3,2,4,3,1,0,21
EMP-1362,41,Female,Married,Human Resources,HR Manager,Other,12,12819,No,No,2,1,4,2,9,0,1
EMP-1363,44,Male,Married,Finance,Finance Manager,Life Sciences,8,14668,No,No,3,4,3,4,4,1,31
EMP-1364,57,Male,Married,Sales,Sales Executive,Technical Degree,5,7428,Yes,Yes,2,2,2,1,4,3,9
EMP-1365,48,Female,Divorced,R&D,Research Scientist,Human Resources,14,8396,No,No,3,4,4,4,10,0,32
EMP-1366,54,Male,Divorced,Finance,Financial Analyst,Human Resources,12,8274,Yes,Yes,3,1,4,3,3,2,30
EMP-1367,55,Female,Single,Marketing,Marketing Specialist,Medical,16,9039,No,No,2,3,1,3,15,15,22
EMP-1368,40,Male,Single,Software Engineering,DevOps Engineer,Other,19,12074,No,No,3,3,1,4,10,9,2
EMP-1369,27,Male,Single,Human Resources,Recruitment Specialist,Marketing,6,6127,No,Yes,2,3,3,3,2,2,10
EMP-1370,45,Female,Married,Finance,Accountant,Other,8,8740,No,No,3,1,3,1,3,3,27
EMP-1371,50,Female,Single,Software Engineering,Software Engineer,Medical,19,9123,No,Yes,3,3,1,1,10,7,35
EMP-1372,46,Male,Single,Sales,Sales Representative,Human Resources,14,6419,No,No,3,4,4,3,1,0,35
EMP-1373,49,Female,Divorced,Finance,Accountant,Marketing,11,7812,No,No,3,1,3,4,4,4,13
EMP-1374,33,Male,Single,Marketing,Content Strategist,Other,1,3909,Yes,No,3,4,1,1,1,0,3
EMP-1375,27,Male,Divorced,R&D,R&D Manager,Other,6,15288,Yes,No,2,1,1,1,6,4,12
EMP-1376,33,Male,Married,R&D,R&D Manager,Other,3,14530,No,Yes,3,3,4,3,2,0,25
EMP-1377,25,Male,Married,Software Engineering,DevOps Engineer,Medical,4,4868,No,No,2,2,4,2,4,1,7
EMP-1378,38,Male,Single,Software Engineering,Engineering Lead,Life Sciences,17,18098,No,Yes,3,4,1,4,2,2,25
EMP-1379,43,Female,Divorced,Human Resources,HR Executive,Life Sciences,17,11843,No,No,2,4,4,1,16,3,35
EMP-1380,41,Male,Divorced,Human Resources,Recruitment Specialist,Other,3,7050,No,No,3,3,1,4,1,0,3
EMP-1381,34,Male,Married,Software Engineering,Engineering Lead,Life Sciences,12,14537,No,Yes,2,4,2,2,10,3,32
EMP-1382,56,Female,Married,Software Engineering,Software Engineer,Human Resources,15,5719,No,No,2,3,1,3,2,0,34
EMP-1383,56,Male,Divorced,Software Engineering,Engineering Lead,Medical,3,9816,No,No,4,2,4,1,1,0,9
EMP-1384,25,Female,Single,R&D,Research Scientist,Technical Degree,4,6050,Yes,No,3,1,1,1,2,1,22
EMP-1385,47,Male,Divorced,Finance,Finance Manager,Human Resources,18,13801,Yes,No,2,2,1,2,14,2,24
EMP-1386,50,Male,Divorced,Marketing,Marketing Specialist,Life Sciences,5,5778,No,No,2,4,2,1,1,0,6
EMP-1387,40,Male,Married,Finance,Finance Manager,Other,5,11118,No,Yes,3,3,4,4,1,0,32
EMP-1388,41,Male,Single,Marketing,Marketing Specialist,Human Resources,8,6212,No,No,3,1,3,2,4,2,4
EMP-1389,31,Female,Married,Sales,Sales Executive,Technical Degree,6,6434,Yes,Yes,3,1,1,3,4,0,7
EMP-1390,56,Male,Single,Finance,Financial Analyst,Technical Degree,17,7006,No,No,3,2,4,3,11,3,8
EMP-1391,28,Male,Married,Human Resources,HR Executive,Medical,7,6183,No,No,2,4,4,1,5,3,12
EMP-1392,30,Male,Single,Software Engineering,DevOps Engineer,Other,9,7218,No,No,2,3,2,1,3,0,30
EMP-1393,32,Female,Single,Software Engineering,DevOps Engineer,Marketing,11,8356,No,No,3,2,2,1,4,4,31
EMP-1394,22,Female,Divorced,Software Engineering,DevOps Engineer,Medical,1,6142,No,No,2,2,2,1,1,1,34
EMP-1395,28,Male,Single,Software Engineering,DevOps Engineer,Life Sciences,7,5590,No,No,3,4,2,2,1,0,31
EMP-1396,32,Female,Divorced,Finance,Accountant,Other,11,7788,No,No,3,4,4,2,6,5,30
EMP-1397,22,Female,Single,Finance,Finance Manager,Technical Degree,1,13007,No,No,3,3,4,3,1,0,22
EMP-1398,54,Female,Divorced,Finance,Financial Analyst,Marketing,2,4605,No,No,3,3,4,1,1,0,9
EMP-1399,56,Male,Married,Human Resources,HR Executive,Other,19,11416,No,No,3,2,3,3,14,4,4
EMP-1400,44,Male,Divorced,R&D,Laboratory Technician,Human Resources,4,8375,No,No,4,3,4,3,1,0,30
EMP-1401,47,Female,Married,R&D,Research Scientist,Life Sciences,4,5429,No,Yes,3,1,2,4,1,1,27
EMP-1402,30,Male,Married,Finance,Finance Manager,Technical Degree,1,11086,Yes,No,3,1,1,2,1,1,32
EMP-1403,55,Female,Married,Marketing,Marketing Manager,Technical Degree,10,14976,No,Yes,3,3,2,3,5,0,10
EMP-1404,51,Female,Divorced,Human Resources,Recruitment Specialist,Medical,18,9064,Yes,Yes,2,2,2,2,5,3,17
EMP-1405,35,Female,Single,Human Resources,HR Executive,Other,11,8073,No,No,2,3,4,2,1,1,32
EMP-1406,42,Male,Divorced,Sales,Sales Representative,Human Resources,17,11268,No,No,3,3,4,3,5,4,29
EMP-1407,29,Female,Single,Human Resources,HR Manager,Medical,8,11281,No,No,2,1,4,2,1,0,34
EMP-1408,34,Male,Divorced,Sales,Sales Representative,Technical Degree,3,8142,No,No,3,2,4,3,1,1,26
EMP-1409,49,Male,Married,Sales,Sales Manager,Life Sciences,10,13715,No,Yes,4,3,4,1,7,7,19
EMP-1410,49,Female,Married,Sales,Sales Manager,Medical,19,16666,No,No,4,2,2,3,3,3,6
EMP-1411,39,Male,Divorced,R&D,Laboratory Technician,Technical Degree,18,7939,No,No,2,2,4,3,10,9,20
EMP-1412,51,Male,Single,Software Engineering,Engineering Lead,Medical,9,14504,No,No,3,4,1,3,4,0,8
EMP-1413,26,Female,Married,Human Resources,Recruitment Specialist,Human Resources,5,9138,No,No,3,3,4,1,1,1,11
EMP-1414,31,Male,Divorced,Marketing,Marketing Specialist,Medical,10,6167,No,No,4,3,3,4,1,1,19
EMP-1415,26,Female,Divorced,Marketing,Marketing Manager,Medical,4,14773,No,No,3,2,3,3,3,2,24
EMP-1416,44,Female,Single,R&D,R&D Manager,Medical,17,14970,No,No,3,4,4,3,7,2,33
EMP-1417,57,Female,Divorced,Sales,Sales Executive,Human Resources,18,8741,No,No,4,4,1,1,16,11,20
EMP-1418,30,Female,Divorced,Finance,Accountant,Human Resources,9,7589,No,Yes,4,3,1,1,3,1,20
EMP-1419,30,Non-Binary,Married,Sales,Sales Executive,Other,4,4452,No,Yes,2,4,4,1,1,1,8
EMP-1420,26,Male,Single,Human Resources,HR Executive,Life Sciences,4,6082,Yes,Yes,2,2,2,3,3,2,23
EMP-1421,37,Female,Single,Sales,Sales Manager,Life Sciences,16,17200,Yes,Yes,3,2,2,3,4,1,33
EMP-1422,45,Female,Single,Finance,Accountant,Technical Degree,4,6133,No,Yes,3,3,4,4,1,1,8
EMP-1423,55,Male,Married,Software Engineering,Software Engineer,Other,10,11104,Yes,No,3,1,1,3,5,5,29
EMP-1424,48,Male,Married,Sales,Sales Manager,Medical,3,13566,No,No,3,3,2,1,1,1,29
EMP-1425,27,Male,Married,Marketing,Marketing Manager,Technical Degree,6,11367,Yes,No,3,2,1,3,4,0,15
EMP-1426,53,Male,Divorced,Software Engineering,Engineering Lead,Human Resources,19,17253,No,No,4,4,3,4,16,16,18
EMP-1427,28,Male,Married,Sales,Sales Representative,Technical Degree,7,5401,Yes,No,2,1,1,1,5,5,21
EMP-1428,28,Female,Divorced,Sales,Sales Representative,Human Resources,7,8424,No,No,3,3,4,4,7,0,3
EMP-1429,46,Male,Married,Software Engineering,Software Engineer,Technical Degree,15,5864,No,No,2,2,3,2,12,6,32
EMP-1430,53,Female,Divorced,R&D,R&D Manager,Human Resources,19,17497,Yes,Yes,3,2,1,4,12,12,19
EMP-1431,23,Female,Single,Human Resources,HR Executive,Marketing,2,8295,No,No,4,3,4,1,2,1,4
EMP-1432,37,Male,Married,Finance,Financial Analyst,Human Resources,3,4852,No,Yes,3,3,1,3,1,1,28
EMP-1433,48,Male,Divorced,Marketing,Marketing Manager,Technical Degree,19,13071,No,No,4,4,4,3,4,1,22
EMP-1434,43,Male,Married,Software Engineering,Engineering Lead,Marketing,14,14030,Yes,Yes,3,1,2,3,13,3,6
EMP-1435,28,Female,Married,Finance,Finance Manager,Life Sciences,7,14747,No,No,3,4,2,3,3,2,28
EMP-1436,42,Male,Married,Finance,Finance Manager,Marketing,20,18041,No,No,3,2,1,2,15,8,35
EMP-1437,58,Female,Single,Marketing,Content Strategist,Human Resources,7,8060,No,No,3,2,2,2,4,2,5
EMP-1438,48,Male,Married,Finance,Financial Analyst,Other,6,7250,Yes,Yes,3,2,4,2,3,3,32
EMP-1439,49,Female,Single,Marketing,Content Strategist,Medical,6,6538,No,No,3,1,3,3,1,1,2
EMP-1440,42,Female,Single,R&D,Research Scientist,Technical Degree,12,6951,Yes,No,3,2,2,1,11,9,34
EMP-1441,27,Male,Single,Human Resources,Recruitment Specialist,Marketing,6,10014,No,Yes,2,4,2,4,2,1,29
EMP-1442,25,Female,Married,Software Engineering,DevOps Engineer,Other,4,6948,No,No,4,4,4,2,2,1,31
EMP-1443,41,Male,Divorced,Finance,Accountant,Life Sciences,2,5591,No,No,3,4,3,3,1,1,25
EMP-1444,38,Male,Single,R&D,Laboratory Technician,Marketing,7,7200,No,No,3,4,3,4,1,1,31
EMP-1445,43,Female,Single,Finance,Accountant,Medical,9,8841,No,No,2,3,4,3,1,0,29
EMP-1446,22,Male,Divorced,Finance,Financial Analyst,Marketing,1,8088,No,No,4,1,2,2,1,1,21
EMP-1447,30,Male,Divorced,Software Engineering,DevOps Engineer,Human Resources,9,7308,No,Yes,4,1,4,3,4,0,2
EMP-1448,36,Female,Married,Marketing,Marketing Manager,Medical,9,17556,Yes,No,3,2,1,4,6,1,8
EMP-1449,55,Male,Married,R&D,R&D Manager,Other,16,12782,Yes,Yes,3,2,2,3,7,3,19
EMP-1450,34,Male,Married,Finance,Finance Manager,Medical,1,11276,No,No,3,3,2,4,1,0,1
EMP-1451,42,Non-Binary,Married,Software Engineering,Software Engineer,Other,7,8658,No,Yes,2,4,3,1,3,1,31
EMP-1452,24,Male,Divorced,Human Resources,HR Manager,Human Resources,3,12178,No,No,3,4,3,2,3,1,17
EMP-1453,53,Female,Married,Sales,Sales Manager,Medical,3,12092,No,Yes,2,4,2,3,1,1,18
EMP-1454,49,Male,Married,Finance,Accountant,Human Resources,9,9505,No,No,3,4,2,3,3,3,4
EMP-1455,25,Male,Single,Sales,Sales Executive,Technical Degree,4,5859,No,No,4,4,4,1,1,1,23
EMP-1456,53,Male,Single,Finance,Finance Manager,Other,5,10707,Yes,Yes,3,1,2,3,3,1,1
EMP-1457,33,Male,Single,Marketing,Marketing Manager,Medical,12,16133,No,No,3,3,1,3,7,5,7
EMP-1458,23,Male,Divorced,Human Resources,HR Executive,Other,2,7539,No,No,3,3,1,3,2,1,9
EMP-1459,40,Male,Single,Sales,Sales Executive,Other,3,8861,No,Yes,3,4,1,4,2,0,2
EMP-1460,46,Female,Married,Sales,Sales Executive,Other,5,5317,No,No,3,4,4,3,3,0,24
EMP-1461,53,Male,Married,Marketing,Marketing Specialist,Technical Degree,9,10539,No,No,3,4,1,4,7,6,6
EMP-1462,43,Non-Binary,Divorced,R&D,R&D Manager,Medical,5,13977,No,No,4,1,3,4,4,2,10
EMP-1463,41,Female,Divorced,Sales,Sales Manager,Technical Degree,10,14777,Yes,No,3,1,1,1,10,4,23
EMP-1464,27,Female,Single,Human Resources,HR Manager,Life Sciences,6,12076,Yes,Yes,4,2,4,1,5,5,30
EMP-1465,38,Male,Single,Finance,Accountant,Medical,6,5886,No,No,2,3,1,4,1,0,11
EMP-1466,51,Female,Divorced,Finance,Accountant,Other,20,11727,No,Yes,2,3,4,3,7,1,2
EMP-1467,23,Male,Divorced,Finance,Financial Analyst,Medical,2,7499,Yes,No,2,2,1,3,1,0,10
EMP-1468,50,Non-Binary,Married,Finance,Finance Manager,Life Sciences,15,16474,Yes,Yes,2,2,3,4,12,6,27
EMP-1469,57,Non-Binary,Single,Software Engineering,Engineering Lead,Technical Degree,13,16135,No,No,3,4,2,1,6,4,5
EMP-1470,48,Female,Single,Human Resources,HR Manager,Technical Degree,20,18553,No,Yes,3,4,4,1,16,11,29
EMP-1471,36,Female,Divorced,Sales,Sales Manager,Marketing,15,19128,No,No,3,4,2,3,7,5,31
EMP-1472,35,Male,Divorced,Sales,Sales Manager,Life Sciences,14,12273,No,Yes,3,2,2,4,5,1,14
EMP-1473,23,Male,Married,Marketing,Marketing Specialist,Marketing,2,5353,Yes,No,3,1,1,3,1,1,17
EMP-1474,24,Female,Divorced,Human Resources,Recruitment Specialist,Marketing,3,8334,No,No,4,1,1,4,1,0,3
EMP-1475,32,Female,Single,Marketing,Marketing Specialist,Marketing,6,7579,No,Yes,3,4,4,1,2,0,13
EMP-1476,22,Male,Married,Software Engineering,DevOps Engineer,Marketing,1,7530,No,No,3,1,3,3,1,0,34
EMP-1477,30,Female,Married,Software Engineering,Software Engineer,Technical Degree,9,10605,No,Yes,2,3,1,4,9,1,6
